
Image Name                     PID Session Name        Session#    Mem Usage
Code.exe                     24620 Console                    1     81,884 K
php.exe                       5816 Console                    1    195,716 K
conhost.exe                   9776 Console                    1      6,792 K
Code.exe                     13884 Console                    1     84,084 K
Code.exe                     18540 Console                    1    132,496 K
devsense.php.ls.exe          23984 Console                    1     75,896 K
conhost.exe                  17316 Console                    1      6,672 K
notepad++.exe                24056 Console                    1     45,140 K
Code.exe                     25432 Console                    1     94,324 K
Code.exe                     25056 Console                    1     83,140 K
Code.exe                      6660 Console                    1    101,532 K
w3wp.exe                      7684 Services                   0     19,396 K
firefox.exe                  25516 Console                    1    173,012 K
msedge.exe                    5980 Console                    1     35,408 K
firefox.exe                  25268 Console                    1     33,056 K
svchost.exe                  18216 Services                   0     62,700 K
svchost.exe                   8644 Services                   0      8,824 K
firefox.exe                  22632 Console                    1     32,972 K
firefox.exe                  25208 Console                    1     32,880 K
firefox.exe                  24596 Console                    1     22,688 K
svchost.exe                  22184 Services                   0      9,436 K
svchost.exe                  21168 Services                   0     11,536 K
msedge.exe                   20140 Console                    1     33,840 K
svchost.exe                  16824 Services                   0      9,044 K
WerFault.exe                 23992 Console                    1     23,756 K
svchost.exe                  17120 Services                   0      9,508 K
SearchProtocolHost.exe       13396 Console                    1     10,464 K
msedge.exe                   23420 Console                    1    216,540 K
svchost.exe                  24952 Services                   0     35,520 K
msedge.exe                    1396 Console                    1     17,380 K
OneDrive.exe                  3964 Console                    1    752,236 K
svchost.exe                  20004 Services                   0     30,708 K
smartscreen.exe              12776 Console                    1     12,976 K
SearchProtocolHost.exe       21376 Services                   0     30,228 K
svchost.exe                  24904 Services                   0     23,156 K
svchost.exe                  17492 Services                   0      9,268 K
OpenConsole.exe              17328 Console                    1     12,076 K
pwsh.exe                     22856 Console                    1    122,216 K
RuntimeBroker.exe             5368 Console                    1     10,644 K
RuntimeBroker.exe             3392 Console                    1     29,012 K
SearchFilterHost.exe         11288 Services                   0     11,848 K
SearchFilterHost.exe         11172 Services                   0     15,488 K
dllhost.exe                  21484 Console                    1     10,008 K
tasklist.exe                 24280 Console                    1     11,732 K
docker.exe                    9740 Console                    1      2,552 K
conhost.exe                   4644 Console                    1      2,284 K
